timestamp,cpu_percent,memory_percent,disk_usage,network_activity
2025-01-27T20:31:45.280071,0.0,86.5,90.6,318491483
2025-01-27T20:31:46.315227,16.9,86.5,90.7,318541108
2025-01-27T20:31:47.341076,33.2,86.5,90.7,318587140
2025-01-27T20:31:48.371110,21.7,86.4,90.7,318598391
2025-01-27T20:31:49.401154,14.8,86.2,90.7,318599752
2025-01-27T20:31:50.437174,19.8,86.2,90.7,318611171
2025-01-27T20:31:51.465929,10.2,86.1,90.7,318612649
2025-01-27T20:31:52.493148,14.5,86.5,90.7,318626797
2025-01-27T20:31:53.530223,41.2,86.9,90.7,318974496
2025-01-27T20:31:54.568051,15.1,87.4,90.7,319126011
2025-01-27T20:31:55.594989,14.2,87.4,90.7,319151232
2025-01-27T20:31:56.620936,8.0,87.4,90.7,319173691
2025-01-27T20:31:57.660050,10.8,87.5,90.7,319307046
2025-01-27T20:31:58.699837,29.2,87.4,90.7,319895501
2025-01-27T20:31:59.740083,7.2,87.5,90.7,320050615
2025-01-27T20:32:00.768077,11.3,87.4,90.7,320102556
2025-01-27T20:32:01.797000,29.3,87.7,90.7,321244353
2025-01-27T20:32:02.835844,20.6,87.8,90.7,322298062
2025-01-27T20:32:03.865161,20.6,87.6,90.7,322362525
2025-01-27T20:32:04.893057,13.0,87.6,90.7,322443738
2025-01-27T20:32:05.932437,18.9,87.8,90.7,322608198
2025-01-27T20:32:06.967148,23.8,88.0,90.7,323070334
2025-01-27T20:32:08.009124,10.2,88.0,90.7,323781891
2025-01-27T20:32:09.048994,8.8,88.0,90.7,324563075
2025-01-27T20:32:10.090960,37.9,88.3,90.7,324888493
2025-01-27T20:32:11.133250,12.6,88.5,90.7,324978847
2025-01-27T20:32:12.173959,3.4,88.5,90.7,324986588
2025-01-27T20:32:13.204276,13.5,88.3,90.7,325006155
2025-01-27T20:32:14.245788,7.3,88.2,90.7,325010252
2025-01-27T20:32:15.288023,4.1,88.1,90.7,325011236
2025-01-27T20:32:16.315345,2.7,88.1,90.7,325012864
2025-01-27T20:32:17.348090,18.1,87.9,90.7,325016343
2025-01-27T20:32:18.388168,8.6,87.9,90.7,325024626
2025-01-27T20:32:19.418963,14.5,87.9,90.7,325027569
2025-01-27T20:32:20.450035,13.7,87.9,90.7,325029320
2025-01-27T20:32:21.475214,3.7,87.9,90.7,325034013
2025-01-27T20:32:22.516005,12.7,87.8,90.7,325073575
2025-01-27T20:32:23.542248,8.2,87.8,90.7,325108301
2025-01-27T20:32:24.570119,4.8,87.8,90.7,325115073
2025-01-27T20:32:25.615778,3.2,87.9,90.7,325116570
2025-01-27T20:32:26.642539,5.7,88.0,90.7,325140926
2025-01-27T20:32:27.667079,6.1,88.0,90.7,325143602
2025-01-27T20:32:28.705909,11.5,87.7,90.7,325144910
2025-01-27T20:32:29.744058,7.7,87.7,90.7,325146677
2025-01-27T20:32:30.780583,9.5,87.7,90.7,325147530
2025-01-27T20:32:31.807485,4.8,87.7,90.7,325169241
2025-01-27T20:32:32.833104,6.7,87.8,90.7,325174711
2025-01-27T20:32:33.864087,13.4,87.8,90.7,325175880
2025-01-27T20:32:34.890472,15.1,87.4,90.7,325179355
2025-01-27T20:32:35.931859,6.1,87.4,90.7,325181188
2025-01-27T20:32:36.961109,4.8,87.4,90.7,325182167
2025-01-27T20:32:37.989133,3.9,87.4,90.7,325186163
2025-01-27T20:32:39.017946,7.1,87.5,90.7,325188476
2025-01-27T20:32:40.056089,8.2,87.4,90.7,325204281
2025-01-27T20:32:41.094333,7.1,87.4,90.7,325226772
2025-01-27T20:32:42.120112,9.2,87.5,90.7,325248315
2025-01-27T20:32:43.147280,4.3,87.5,90.7,325262536
2025-01-27T20:32:44.171602,13.4,87.5,90.7,325306820
2025-01-27T20:32:45.212294,6.8,87.5,90.7,325329235
2025-01-27T20:32:46.247486,17.7,87.6,90.7,325494524
2025-01-27T20:32:47.284371,23.6,87.9,90.7,326091812
2025-01-27T20:32:48.323345,24.6,88.0,90.7,326251072
2025-01-27T20:32:49.352274,21.3,88.0,90.7,326483105
2025-01-27T20:32:50.388688,45.2,89.5,90.7,328479934
2025-01-27T20:32:51.440019,42.5,89.0,90.7,328685618
2025-01-27T20:32:52.486304,44.3,87.7,90.7,328700799
2025-01-27T20:32:53.516233,22.3,87.5,90.7,328706125
2025-01-27T20:32:54.547996,27.2,86.7,90.8,328748900
2025-01-27T20:32:55.584882,21.0,86.1,90.8,328755896
2025-01-27T20:32:56.635293,21.9,85.8,90.9,328762171
2025-01-27T20:32:57.676780,11.0,85.3,90.9,328764836
2025-01-27T20:32:58.704990,12.1,85.0,90.9,328767292
2025-01-27T20:32:59.743865,13.0,84.9,90.9,328773585
2025-01-27T20:33:00.772003,7.8,84.5,90.9,328774295
2025-01-27T20:33:01.797356,12.8,83.8,90.9,328783292
2025-01-27T20:33:02.842298,13.0,83.8,90.9,328786098
2025-01-27T20:33:03.872915,11.3,83.8,90.9,328787995
2025-01-27T20:33:04.905199,13.9,83.8,90.9,328792858
2025-01-27T20:33:05.948964,18.5,83.9,90.9,328850899
2025-01-27T20:33:06.993940,11.2,83.9,90.9,328853115
2025-01-27T20:33:08.036860,8.3,83.4,90.9,328857601
2025-01-27T20:33:09.065070,12.1,83.1,90.9,328859358
2025-01-27T20:33:10.093900,15.4,83.1,90.9,328863333
2025-01-27T20:33:11.123818,15.3,83.1,90.9,328867343
2025-01-27T20:33:12.154353,20.0,83.0,90.8,328870390
2025-01-27T20:33:13.184944,14.9,84.4,90.8,328872442
2025-01-27T20:33:14.215591,10.8,84.5,90.8,328874782
2025-01-27T20:33:15.258171,14.3,84.5,90.8,328879742
2025-01-27T20:33:16.286906,6.9,84.4,90.8,328883671
2025-01-27T20:33:17.311927,18.9,84.5,90.7,328902859
2025-01-27T20:33:18.353848,11.6,83.7,90.7,328908781
2025-01-27T20:33:19.385333,8.9,82.9,90.6,328910785
2025-01-27T20:33:20.431950,31.3,82.8,90.6,328911292
2025-01-27T20:33:21.476937,16.1,82.8,90.6,328926556
2025-01-27T20:33:22.507795,5.3,82.7,90.6,328929338
2025-01-27T20:33:23.545743,24.4,82.6,90.6,328960073
2025-01-27T20:33:24.574342,15.7,82.6,90.6,328962156
2025-01-27T20:33:25.604370,12.4,82.6,90.6,328971633
2025-01-27T20:33:26.631844,9.3,82.6,90.6,328973086
2025-01-27T20:33:27.655867,8.4,82.5,90.6,328988210
2025-01-27T20:33:28.686278,9.8,82.5,90.6,328989186
2025-01-27T20:33:34.613621,44.4,82.4,90.6,329032658
2025-01-27T20:33:35.649878,10.9,82.4,90.6,329083890
2025-01-27T20:33:36.674177,7.9,82.4,90.6,329125373
2025-01-27T20:33:37.696388,3.9,82.3,90.6,329129121
2025-01-27T20:33:38.723139,5.2,82.3,90.6,329135509
2025-01-27T20:33:39.749040,13.4,82.3,90.6,329147385
2025-01-27T20:33:40.778145,16.3,82.4,90.6,329148572
2025-01-27T20:33:41.817041,8.4,82.4,90.6,329154897
2025-01-27T20:33:42.848098,25.4,82.5,90.6,329214357
2025-01-27T20:33:43.890288,14.7,82.4,90.6,329235261
2025-01-27T20:33:44.916077,6.3,82.4,90.6,329254267
2025-01-27T20:33:45.947021,7.1,82.5,90.6,329335375
2025-01-27T20:33:46.976249,20.8,82.9,90.6,329343182
2025-01-27T20:33:48.016338,45.2,82.9,90.6,329349820
2025-01-27T20:33:49.045126,42.3,82.9,90.6,329379736
2025-01-27T20:33:50.088791,38.9,82.6,90.6,329395410
2025-01-27T20:33:51.117617,38.7,82.6,90.6,329398930
2025-01-27T20:33:52.145066,36.9,82.4,90.6,329401732
2025-01-27T20:33:53.174788,38.4,82.3,90.6,329406098
2025-01-27T20:33:54.204928,42.3,82.3,90.6,329406785
2025-01-27T20:33:55.235986,40.8,82.3,90.6,329408513
2025-01-27T20:33:56.278113,41.9,82.3,90.6,329409675
2025-01-27T20:33:57.320991,44.9,82.7,90.6,329432436
2025-01-27T20:33:58.354684,41.0,82.8,90.6,329452348
2025-01-27T20:33:59.379808,38.1,82.7,90.6,329471798
2025-01-27T20:34:00.407084,43.9,82.8,90.6,329473920
2025-01-27T20:34:01.437291,41.5,82.8,90.6,329480037
2025-01-27T20:34:02.469609,47.0,82.7,90.6,329483846
2025-01-27T20:34:03.516170,43.6,82.5,90.6,329488405
2025-01-27T20:34:04.547181,41.5,82.5,90.6,329489518
2025-01-27T20:34:05.575247,42.7,82.4,90.6,329495240
2025-01-27T20:34:06.617420,38.9,82.4,90.6,329511035
2025-01-27T20:34:07.647556,39.4,82.5,90.6,329525141
2025-01-27T20:34:08.689964,43.8,82.4,90.6,329534049
2025-01-27T20:34:09.740087,42.5,82.3,90.6,329537059
2025-01-27T20:34:10.783396,39.6,82.4,90.6,329537519
2025-01-27T20:34:11.815269,46.2,82.3,90.6,329549155
2025-01-27T20:34:12.846299,43.1,82.4,90.6,329565124
2025-01-27T20:34:13.891275,45.3,82.5,90.6,329582473
2025-01-27T20:34:14.933643,38.9,82.4,90.6,329584141
2025-01-27T20:34:15.979022,40.2,82.5,90.6,329589717
2025-01-27T20:34:17.020235,42.2,82.6,90.6,329611732
2025-01-27T20:34:18.064605,42.4,82.5,90.6,329625653
2025-01-27T20:34:19.096215,48.3,82.5,90.6,329629710
2025-01-27T20:34:20.129183,56.6,81.8,90.6,329648119
2025-01-27T20:34:21.175833,44.6,80.7,90.6,329664210
2025-01-27T20:34:22.207269,39.3,80.7,90.6,329666027
2025-01-27T20:34:23.247826,42.5,80.7,90.6,329669405
2025-01-27T20:34:24.277345,38.6,80.7,90.6,329672300
2025-01-27T20:34:25.311462,40.5,80.7,90.6,329675489
2025-01-27T20:34:26.356727,40.4,80.7,90.6,329675930
2025-01-27T20:34:27.386634,39.1,80.7,90.6,329676593
2025-01-27T20:34:28.421909,37.7,80.7,90.6,329679790
2025-01-27T20:34:29.459078,46.0,80.7,90.6,329681079
2025-01-27T20:34:30.487657,42.7,80.6,90.6,329681961
2025-01-27T20:34:31.531464,44.1,80.7,90.6,329697146
2025-01-27T20:34:32.577028,41.3,80.7,90.6,329699661
2025-01-27T20:34:33.621876,40.7,80.7,90.6,329702678
2025-01-27T20:34:34.652079,36.1,80.7,90.6,329704475
2025-01-27T20:34:35.682801,41.0,80.7,90.6,329706974
2025-01-27T20:34:36.717932,38.4,80.7,90.6,329709596
2025-01-27T20:34:37.746076,37.9,80.7,90.6,329712902
2025-01-27T20:34:38.791322,37.5,80.7,90.6,329715109
2025-01-27T20:34:39.825499,42.0,80.9,90.6,329717411
2025-01-27T20:34:40.858763,37.5,80.9,90.6,329718516
2025-01-27T20:34:41.903357,39.4,80.9,90.6,329735211
2025-01-27T20:34:42.939113,39.6,80.9,90.6,329738621
2025-01-27T20:34:43.976627,45.4,80.8,90.6,329741074
2025-01-27T20:34:45.041316,38.4,80.8,90.6,329741728
2025-01-27T20:34:46.079185,39.3,80.8,90.6,329745372
2025-01-27T20:34:47.114036,41.4,80.7,90.6,329752335
2025-01-27T20:34:48.143426,22.1,80.7,90.6,329947899
2025-01-27T20:34:49.173106,11.0,80.8,90.6,329957769
2025-01-27T20:34:50.202113,14.9,80.8,90.6,330004434
2025-01-27T20:34:51.226200,10.2,80.7,90.6,330023673
2025-01-27T20:34:52.262043,15.0,80.8,90.6,330050736
2025-01-27T20:34:53.290125,10.8,80.7,90.6,330064821
2025-01-27T20:34:54.329679,10.2,80.7,90.6,330078325
2025-01-27T20:34:55.353881,10.3,80.8,90.6,330096944
2025-01-27T20:34:56.381249,27.5,81.8,90.6,330125359
2025-01-27T20:34:57.452102,29.9,81.8,90.6,330148906
2025-01-27T20:34:58.476032,8.7,81.8,90.6,330182803
2025-01-27T20:34:59.502922,14.2,81.9,90.6,330194912
2025-01-27T20:35:00.543772,25.3,81.9,90.6,330222176
2025-01-27T20:35:01.570027,8.8,81.9,90.6,330248039
2025-01-27T20:35:02.606765,12.1,81.8,90.6,330265876
2025-01-27T20:35:03.632694,13.3,81.9,90.6,330281946
2025-01-27T20:35:04.658172,22.2,81.7,90.6,330299569
2025-01-27T20:35:05.703211,36.9,81.7,90.6,330332422
2025-01-27T20:35:06.731061,19.4,81.8,90.6,330347829
2025-01-27T20:35:07.771925,22.8,82.4,90.6,330364828
2025-01-27T20:35:08.802092,30.9,81.9,90.6,330380615
2025-01-27T20:35:09.832103,42.5,82.3,90.6,330398971
2025-01-27T20:35:10.870756,26.0,82.4,90.6,330421172
2025-01-27T20:35:11.911377,17.3,82.4,90.6,330438904
2025-01-27T20:35:12.953198,21.9,82.5,90.6,330448811
2025-01-27T20:35:13.979268,24.8,82.6,90.6,330459666
2025-01-27T20:35:15.006344,17.6,82.6,90.6,330461445
2025-01-27T20:35:16.035908,21.0,82.6,90.6,330464312
2025-01-27T20:35:17.065155,20.8,82.7,90.6,330465464
2025-01-27T20:35:18.093032,22.5,82.7,90.6,330475781
2025-01-27T20:35:19.120910,15.8,82.7,90.6,330479548
2025-01-27T20:35:20.151075,18.1,83.1,90.6,330481454
2025-01-27T20:35:21.180906,17.0,83.4,90.6,330486051
2025-01-27T20:35:22.211159,15.7,83.6,90.6,330488357
2025-01-27T20:35:23.240873,15.7,83.7,90.6,330504772
2025-01-27T20:35:24.272270,26.8,83.6,90.6,330515763
2025-01-27T20:35:25.302373,13.3,84.9,90.6,330517641
2025-01-27T20:35:26.345420,17.0,84.9,90.6,330519358
2025-01-27T20:35:27.385669,6.6,84.9,90.6,330523169
2025-01-27T20:35:28.421409,6.2,84.9,90.6,330541270
2025-01-27T20:35:29.446961,5.7,84.9,90.6,330546614
2025-01-27T20:35:30.484012,6.3,84.9,90.6,330547788
2025-01-27T20:35:31.513954,6.4,84.9,90.6,330558890
2025-01-27T20:35:32.540925,4.5,84.9,90.6,330562288
2025-01-27T20:35:33.565394,4.3,84.8,90.6,330565140
2025-01-27T20:35:34.594999,31.0,82.6,90.6,330568471
2025-01-27T20:35:35.630387,3.0,82.6,90.6,330570212
2025-01-27T20:35:36.667877,11.0,82.6,90.6,330574359
2025-01-27T20:35:37.691337,4.3,82.6,90.6,330574535
2025-01-27T20:35:38.715332,5.9,82.6,90.6,330578787
2025-01-27T20:35:39.739987,2.6,82.6,90.6,330580772
2025-01-27T20:35:40.780872,8.6,82.6,90.6,330582354
2025-01-27T20:35:41.805853,5.4,82.6,90.6,330588034
2025-01-27T20:35:42.833321,2.6,82.6,90.6,330590702
2025-01-27T20:35:43.859212,4.9,82.6,90.6,330593746
2025-01-27T20:35:44.883967,4.7,82.5,90.6,330596282
2025-01-27T20:35:45.909863,3.5,82.5,90.6,330598240
2025-01-27T20:35:46.936061,6.4,82.5,90.6,330601253
2025-01-27T20:35:47.959969,4.5,82.5,90.6,330603788
2025-01-27T20:35:48.987982,7.5,82.6,90.6,330626727
2025-01-27T20:35:50.022024,4.3,82.6,90.6,330633546
2025-01-27T20:35:51.048827,10.7,82.6,90.6,330652418
2025-01-27T20:35:52.086759,7.1,82.5,90.6,330654330
2025-01-27T20:35:53.113253,3.1,82.5,90.6,330658083
2025-01-27T20:35:54.137393,10.1,82.5,90.6,330664519
2025-01-27T20:35:55.160026,1.8,82.5,90.6,330669987
2025-01-27T20:35:56.183316,7.4,82.5,90.6,330672826
2025-01-27T20:35:57.207106,3.4,82.5,90.6,330674829
2025-01-27T20:35:58.235261,7.5,82.5,90.6,330677689
2025-01-27T20:35:59.258192,6.2,82.5,90.6,330679869
2025-01-27T20:36:00.285785,3.4,82.5,90.6,330683492
2025-01-27T20:36:01.312655,15.1,82.5,90.6,330697493
2025-01-27T20:36:02.337565,4.8,82.5,90.6,330700664
2025-01-27T20:36:03.364341,7.4,82.5,90.6,330709035
2025-01-27T20:36:04.402778,9.2,82.5,90.6,330712350
2025-01-27T20:36:05.426862,8.9,82.6,90.6,330863238
2025-01-27T20:36:06.470063,20.3,83.2,90.6,330867858
2025-01-27T20:36:07.497202,14.3,83.2,90.6,330870201
2025-01-27T20:36:08.521375,3.4,83.2,90.6,330872786
2025-01-27T20:36:09.545925,8.2,83.2,90.6,330875771
2025-01-27T20:36:10.571430,4.2,83.2,90.6,330878473
2025-01-27T20:36:11.599222,3.4,83.1,90.6,330889804
2025-01-27T20:36:12.625988,14.2,83.1,90.6,330892454
2025-01-27T20:36:13.655033,5.8,83.1,90.6,330897521
2025-01-27T20:36:14.681135,7.3,83.2,90.6,330899862
2025-01-27T20:36:15.707235,2.5,83.2,90.6,330902006
2025-01-27T20:36:16.730412,7.6,83.2,90.6,330912946
2025-01-27T20:36:17.758002,3.8,83.1,90.6,330915566
2025-01-27T20:36:18.781257,6.6,83.1,90.6,330920214
2025-01-27T20:36:19.805238,4.8,83.2,90.6,330922391
2025-01-27T20:36:20.831028,6.0,83.1,90.6,330923777
2025-01-27T20:36:21.856114,7.0,83.1,90.6,330925678
2025-01-27T20:36:22.893942,2.9,82.9,90.6,330927110
2025-01-27T20:36:23.924705,4.2,83.0,90.6,330928554
2025-01-27T20:36:24.950858,15.9,83.2,90.6,330939446
2025-01-27T20:36:25.992003,18.5,83.3,90.6,330956557
2025-01-27T20:36:27.020153,8.9,83.3,90.6,330965589
2025-01-27T20:36:28.053263,26.3,83.5,90.6,330974103
2025-01-27T20:36:29.083365,27.9,83.7,90.6,330987081
2025-01-27T20:36:30.114798,28.3,83.9,90.6,330989082
2025-01-27T20:36:31.145345,28.0,84.0,90.6,330990500
2025-01-27T20:36:32.186061,36.3,84.2,90.6,331003546
2025-01-27T20:36:33.212356,30.1,84.6,90.6,331011012
2025-01-27T20:36:34.242537,43.9,84.6,90.6,331012401
2025-01-27T20:36:35.294983,43.6,84.9,90.6,331033192
2025-01-27T20:36:36.340411,28.1,85.0,90.6,331035381
2025-01-27T20:36:37.370946,29.4,85.2,90.6,331037992
2025-01-27T20:36:38.417044,24.7,85.0,90.6,331041582
2025-01-27T20:36:39.469096,27.8,86.1,90.6,331042624
2025-01-27T20:36:40.502903,26.0,86.3,90.6,331046111
2025-01-27T20:36:41.533187,18.9,86.3,90.6,331046558
2025-01-27T20:36:42.562733,27.0,86.2,90.6,331056126
2025-01-27T20:36:43.590269,8.1,86.1,90.6,331060266
2025-01-27T20:36:44.618177,5.6,86.1,90.6,331061736
2025-01-27T20:36:45.651570,16.1,86.1,90.6,331062570
2025-01-27T20:36:46.680806,24.5,86.5,90.6,331070069
2025-01-27T20:36:47.728687,51.0,84.2,90.6,331074477
2025-01-27T20:36:48.774539,41.9,84.6,90.6,331084439
2025-01-27T20:36:49.815832,38.6,84.8,90.6,331100897
2025-01-27T20:36:50.847191,43.4,85.4,90.6,331107472
2025-01-27T20:36:51.912442,36.0,85.8,90.6,331116865
2025-01-27T20:36:52.951458,29.8,86.2,90.6,331121889
2025-01-27T20:36:54.002792,53.8,85.4,90.6,331123677
2025-01-27T20:36:55.033018,36.9,86.6,90.6,331125559
2025-01-27T20:36:56.065577,38.2,86.8,90.6,331127025
2025-01-27T20:36:57.099627,21.3,87.0,90.6,331129885
2025-01-27T20:36:58.128739,20.7,87.3,90.6,331130617
2025-01-27T20:36:59.157263,47.5,85.8,90.6,331134458
2025-01-27T20:37:00.192063,23.8,86.4,90.6,331135960
2025-01-27T20:37:01.222133,18.2,86.4,90.6,331146319
2025-01-27T20:37:02.258937,12.2,86.4,90.6,331149989
2025-01-27T20:37:03.287746,6.7,86.4,90.6,331153706
2025-01-27T20:37:04.326163,11.9,86.3,90.6,331155798
2025-01-27T20:37:05.353277,8.3,86.3,90.6,331162185
2025-01-27T20:37:06.382112,9.8,86.3,90.6,331190890
2025-01-27T20:37:07.419992,11.8,86.4,90.6,331193508
2025-01-27T20:37:08.448710,28.8,79.4,90.6,331197345
2025-01-27T20:37:09.475109,36.3,81.7,90.6,331305179
2025-01-27T20:37:10.543988,29.7,81.6,90.6,331347331
2025-01-27T20:37:11.570045,9.8,81.6,90.6,331400737
2025-01-27T20:37:12.610182,45.6,83.1,90.6,331419406
2025-01-27T20:37:13.666957,36.1,83.4,90.6,331442434
2025-01-27T20:37:14.709893,23.6,83.4,90.6,331496190
2025-01-27T20:37:15.751335,30.1,83.7,90.6,331497882
2025-01-27T20:37:16.777188,38.8,83.8,90.6,331520755
2025-01-27T20:37:17.823024,41.4,84.1,90.6,331569843
2025-01-27T20:37:18.852827,33.0,84.2,90.6,331572540
2025-01-27T20:37:19.894216,29.3,84.2,90.6,331573748
2025-01-27T20:37:20.939243,19.3,85.4,90.6,331575490
2025-01-27T20:37:21.984500,43.2,85.3,90.6,331576949
2025-01-27T20:37:23.015058,23.8,85.3,90.6,331589099
2025-01-27T20:37:24.040165,13.7,85.4,90.6,331593678
2025-01-27T20:37:25.067494,26.7,85.8,90.6,331603624
2025-01-27T20:37:26.096018,51.1,86.3,90.6,331608218
2025-01-27T20:37:27.141138,45.4,86.4,90.6,331609788
2025-01-27T20:37:28.167930,37.0,86.7,90.6,331611731
2025-01-27T20:37:29.207843,37.1,87.5,90.6,331624231
2025-01-27T20:37:30.237060,50.1,85.9,90.6,331640410
2025-01-27T20:37:31.266964,47.2,87.5,90.6,331642602
2025-01-27T20:37:32.311145,41.4,87.1,90.6,331643794
2025-01-27T20:37:33.341457,39.7,87.5,90.6,331646713
2025-01-27T20:37:34.370935,22.4,87.6,90.6,331651985
2025-01-27T20:37:35.402922,25.6,86.9,90.6,331652370
2025-01-27T20:37:36.438132,27.7,86.7,90.6,331655154
2025-01-27T20:37:37.474540,16.2,86.6,90.6,331662115
2025-01-27T20:37:38.519045,10.2,86.6,90.6,331667797
2025-01-27T20:37:39.548721,77.5,87.1,90.6,331671441
2025-01-27T20:37:40.580299,28.3,87.0,90.6,331672593
2025-01-27T20:37:41.621744,20.7,87.1,90.6,331678226
2025-01-27T20:37:42.655729,65.8,86.3,90.6,331680389
